Scenario ID,Scenario Description,Field Name,Field Value
SN001,Sale of Standard Rate Goods to Registered Buyers,invoiceType,Sale Invoice
SN001,Sale of Standard Rate Goods to Registered Buyers,scenarioId,SN001
SN001,Sale of Standard Rate Goods to Registered Buyers,buyerRegistrationType,Registered
SN001,Sale of Standard Rate Goods to Registered Buyers,hsCode,101.21
SN001,Sale of Standard Rate Goods to Registered Buyers,sroScheduleNo,
SN001,Sale of Standard Rate Goods to Registered Buyers,saleType,Goods at standard rate (default)
SN002,Sale of Standard Rate Goods to Unregistered Buyers,invoiceType,Sale Invoice
SN002,Sale of Standard Rate Goods to Unregistered Buyers,scenarioId,SN002
SN002,Sale of Standard Rate Goods to Unregistered Buyers,buyerRegistrationType,Unregistered
SN002,Sale of Standard Rate Goods to Unregistered Buyers,hsCode,101.21
SN002,Sale of Standard Rate Goods to Unregistered Buyers,sroScheduleNo,
SN002,Sale of Standard Rate Goods to Unregistered Buyers,saleType,Goods at standard rate (default)
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",invoiceType,Sale Invoice
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",scenarioId,SN003
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",buyerRegistrationType,Unregistered
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",hsCode,7214.101
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",sroScheduleNo,
SN003,"Sale of Steel (Melted and Re-Rolled) (Billets, Ingots and Long Bars)",saleType,Steel melting and re-rolling
SN004,Sale of Steel Scrap by Ship Breakers,invoiceType,Sale Invoice
SN004,Sale of Steel Scrap by Ship Breakers,scenarioId,SN004
SN004,Sale of Steel Scrap by Ship Breakers,buyerRegistrationType,N/A
SN004,Sale of Steel Scrap by Ship Breakers,hsCode,7204.101
SN004,Sale of Steel Scrap by Ship Breakers,sroScheduleNo,
SN004,Sale of Steel Scrap by Ship Breakers,saleType,Ship breaking
SN005,Sales of Reduced Rate Goods (Eighth Schedule),invoiceType,Sale Invoice
SN005,Sales of Reduced Rate Goods (Eighth Schedule),scenarioId,SN005
SN005,Sales of Reduced Rate Goods (Eighth Schedule),buyerRegistrationType,Unregistered
SN005,Sales of Reduced Rate Goods (Eighth Schedule),hsCode,102.293
SN005,Sales of Reduced Rate Goods (Eighth Schedule),sroScheduleNo,EIGHTH SCHEDULE Table 1
SN005,Sales of Reduced Rate Goods (Eighth Schedule),saleType,Goods at Reduced Rate
SN006,Sale of Exempt Goods (Sixth Schedule),invoiceType,Sale Invoice
SN006,Sale of Exempt Goods (Sixth Schedule),scenarioId,SN006
SN006,Sale of Exempt Goods (Sixth Schedule),buyerRegistrationType,Registered
SN006,Sale of Exempt Goods (Sixth Schedule),hsCode,102.293
SN006,Sale of Exempt Goods (Sixth Schedule),sroScheduleNo,6th Schd Table I
SN006,Sale of Exempt Goods (Sixth Schedule),saleType,Exempt goods
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),invoiceType,Sale Invoice
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),scenarioId,SN007
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),buyerRegistrationType,Unregistered
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),hsCode,101.21
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),sroScheduleNo,327(I)/2008
SN007,Sale Of Zero-Rated Goods (Fifth Schedule),saleType,Goods at zero-rate
SN008,Sale of 3rd Schedule Goods,invoiceType,Sale Invoice
SN008,Sale of 3rd Schedule Goods,scenarioId,SN008
SN008,Sale of 3rd Schedule Goods,buyerRegistrationType,Unregistered
SN008,Sale of 3rd Schedule Goods,hsCode,101.21
SN008,Sale of 3rd Schedule Goods,sroScheduleNo,
SN008,Sale of 3rd Schedule Goods,saleType,3rd Schedule Goods
SN009,Purchase From Registered Cotton Ginners,invoiceType,Sale Invoice
SN009,Purchase From Registered Cotton Ginners,scenarioId,SN009
